"learn_rate","dropout_rate","l2_reg","units1","units2","mean_auc","mean_epochs"
5e-04,0.5,0.01,64,64,0.801517888903618,16
0.001,0.2,0.005,64,64,0.801671490073204,11
5e-04,0.2,0.005,64,64,0.805704519152641,19
0.001,0.3,0.005,64,64,0.800074502825737,30
5e-04,0.3,0.005,64,64,0.806228846311569,16
0.001,0.4,0.005,64,64,0.803300380706787,19
5e-04,0.4,0.005,64,64,0.803774788975716,19
0.001,0.5,0.005,64,64,0.799101620912552,19
5e-04,0.5,0.005,64,64,0.804514229297638,25
0.001,0.2,0.001,64,64,0.802155926823616,13
5e-04,0.2,0.001,64,64,0.798631459474564,17
0.001,0.3,0.001,64,64,0.802033796906471,12
5e-04,0.3,0.001,64,64,0.800673231482506,27
0.001,0.4,0.001,64,64,0.803944706916809,23
5e-04,0.4,0.001,64,64,0.801490351557732,21
0.001,0.5,0.001,64,64,0.803687483072281,18
5e-04,0.5,0.001,64,64,0.804243728518486,22
0.001,0.2,0.1,128,64,0.788025721907616,10
5e-04,0.2,0.1,128,64,0.794151544570923,27
0.001,0.3,0.1,128,64,0.787675574421883,18
5e-04,0.3,0.1,128,64,0.794217348098755,14
0.001,0.4,0.1,128,64,0.78099213540554,18
5e-04,0.4,0.1,128,64,0.791778355836868,22
0.001,0.5,0.1,128,64,0.782036572694778,19
5e-04,0.5,0.1,128,64,0.788260892033577,14
0.001,0.2,0.01,128,64,0.799038425087929,8
5e-04,0.2,0.01,128,64,0.803871884942055,15
0.001,0.3,0.01,128,64,0.800100028514862,21
5e-04,0.3,0.01,128,64,0.801994189620018,17
0.001,0.4,0.01,128,64,0.798667088150978,12
5e-04,0.4,0.01,128,64,0.80095499753952,19
0.001,0.5,0.01,128,64,0.797987639904022,17
5e-04,0.5,0.01,128,64,0.802090048789978,20
0.001,0.2,0.005,128,64,0.802596732974052,12
5e-04,0.2,0.005,128,64,0.800666257739067,13
0.001,0.3,0.005,128,64,0.801349431276321,16
5e-04,0.3,0.005,128,64,0.804662108421326,9
0.001,0.4,0.005,128,64,0.801973909139633,13
5e-04,0.4,0.005,128,64,0.804231896996498,19
0.001,0.5,0.005,128,64,0.800286993384361,20
5e-04,0.5,0.005,128,64,0.804870113730431,31
0.001,0.2,0.001,128,64,0.800740286707878,21
5e-04,0.2,0.001,128,64,0.792976602911949,19
0.001,0.3,0.001,128,64,0.803647190332413,27
5e-04,0.3,0.001,128,64,0.800207555294037,20
0.001,0.4,0.001,128,64,0.803869158029556,9
5e-04,0.4,0.001,128,64,0.802706658840179,18
0.001,0.5,0.001,128,64,0.803567945957184,20
5e-04,0.5,0.001,128,64,0.804454892873764,18
0.001,0.2,0.1,256,64,0.786379441618919,9
5e-04,0.2,0.1,256,64,0.795017957687378,21
0.001,0.3,0.1,256,64,0.785076484084129,16
5e-04,0.3,0.1,256,64,0.791813522577286,15
0.001,0.4,0.1,256,64,0.785659164190292,19
5e-04,0.4,0.1,256,64,0.793154180049896,27
0.001,0.5,0.1,256,64,0.59066641330719,6
5e-04,0.5,0.1,256,64,0.790040582418442,34
0.001,0.2,0.01,256,64,0.801632210612297,11
5e-04,0.2,0.01,256,64,0.805693179368973,13
0.001,0.3,0.01,256,64,0.799861297011375,15
5e-04,0.3,0.01,256,64,0.801079511642456,16
0.001,0.4,0.01,256,64,0.799338489770889,16
5e-04,0.4,0.01,256,64,0.803341940045357,24
0.001,0.5,0.01,256,64,0.794891804456711,7
5e-04,0.5,0.01,256,64,0.800791770219803,21
0.001,0.2,0.005,256,64,0.799129396677017,13
5e-04,0.2,0.005,256,64,0.802623629570007,31
0.001,0.3,0.005,256,64,0.801592916250229,17
5e-04,0.3,0.005,256,64,0.804175555706024,17
0.001,0.4,0.005,256,64,0.799468144774437,8
5e-04,0.4,0.005,256,64,0.80415877699852,15
0.001,0.5,0.005,256,64,0.797795534133911,15
5e-04,0.5,0.005,256,64,0.801279008388519,17
0.001,0.2,0.001,256,64,0.800680607557297,19
5e-04,0.2,0.001,256,64,0.797930270433426,16
0.001,0.3,0.001,256,64,0.80223636329174,31
5e-04,0.3,0.001,256,64,0.800223425030708,17
0.001,0.4,0.001,256,64,0.802892923355103,18
5e-04,0.4,0.001,256,64,0.803294509649277,20
0.001,0.5,0.001,256,64,0.804375514388084,22
5e-04,0.5,0.001,256,64,0.806373119354248,14
0.001,0.2,0.1,128,128,0.785677835345268,14
5e-04,0.2,0.1,128,128,0.793144047260284,17
0.001,0.3,0.1,128,128,0.786470174789429,9
