is_goal,play_pattern.name,position.name,shot.type.name,shot.technique.name,shot.body_part.name,location.x,location.y,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,distance.ToD1,distance.ToD2,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea
0,From Throw In,Left Defensive Midfield,Open Play,Half Volley,Right Foot,108.9,36.9,118,39.1,11.52475596270914,2.19317121994613,74.39605285494326,65.77225468204588,8.62379817289738,5.676040325241317,9.36215787091843,0.8382536019492208,0.43437224276307024,2.302172886644263,3.1304951684997055,2,3,1,1,9.44999999999991
0,From Throw In,Center Forward,Open Play,Normal,Right Foot,97.7,34.7,118.3,39.4,22.92116925464318,1.8027756377319977,76.6306614121312,70.55996517182382,6.0706962403073845,14.219358449421591,21.12936345468078,1.0212031027313642,0.5255883312276391,1.902629759044036,5.300943312279423,1,5,1,2,75.60000000000004
0,Regular Play,Right Midfield,Open Play,Normal,Left Foot,102.8,47.4,117,41.9,18.72431574183687,3.5510561809129397,113.27894919800268,122.34744349944201,9.06849430143933,11.229562804458597,15.227934856703323,2.2378047395488845,1.5411641590585656,1.0049875621120892,3.2572994949804674,3,7,3,3,74.12
0,From Throw In,Center Attacking Midfield,Open Play,Normal,Left Foot,88.2,47.4,117.6,40.3,32.64965543462901,2.41867732448957,103.09984308226626,97.12501634890172,5.974826733364537,22.385629312652497,30.245164902840244,0.8245550143710975,0.07703712157713453,3.114482300479486,8.198780397107848,5,8,1,1,95.20000000000016
0,From Corner,Right Center Back,Open Play,Volley,Right Foot,115.6,50.1,119.7,42.8,11.016805344563373,2.8160255680657413,156.45996073048568,173.88449643371465,17.42453570322897,16.25476661147841,8.3725742755738,1.1954028803498884,0.7035975447302896,1.4212670403551941,5.846366392897392,2,6,1,2,17.15999999999991
0,Regular Play,Right Midfield,Open Play,Normal,Left Foot,106.3,53.6,117.9,43,19.304144632694815,3.6619666847201073,134.79012628843245,145.00797980144142,10.217853513008976,24.446363579383284,15.7136883003323,0.4964508595905246,0.09741851609018493,10.264989040422796,10.51189802081432,2,6,1,1,102.84999999999998
0,From Corner,Right Center Back,Open Play,Normal,Head,114,37.4,119.5,39.5,6.539113089708726,0.7071067811865476,66.57130719125459,44.99999999999999,21.571307191254597,0.7525022555871667,5.88727441181401,2.3165197424412582,1.8491439832057526,0.7000000000000028,3.6069377593742824,3,6,3,3,41.40999999999995
0,Regular Play,Left Wing,Open Play,Normal,Right Foot,101.2,41.2,117.2,41,18.838258942906585,2.9732137494636985,93.65222278030639,109.65382405805333,16.001601277746943,25.334854082936886,16.00124995117569,0.9095610773972276,0.10868923168587326,4.16773319683494,7.234638899074366,3,8,1,2,55.87000000000002
0,From Free Kick,Right Center Back,Open Play,Half Volley,Right Foot,105.6,39.1,118.3,40.3,14.428097587693262,1.726267650163209,86.42366562500273,100.00797980144121,13.584314176438482,18.260602555883313,12.756566936288152,1.2481619281630707,0.7866935438135685,1.8248287590894778,4.949747468305833,4,6,3,3,47.309999999999945
0,Regular Play,Left Midfield,Open Play,Normal,Right Foot,102.1,46.4,117.2,40.6,19.009734348485782,2.863564212655268,109.67409857225061,102.09475707701213,7.579341495238481,38.45706814454423,16.175598906995692,0.9247478959897464,0.45193498562179624,2.9000000000000012,4.20594816896262,2,5,2,1,82.32000000000014
